Chromosome,Pos,Region,Mdiff,Q-value,Gene ID,Gene symbol,Gene name
NC_027308.1,25999204,P6K,43.22,3.5E-56,106610962,LOC106610962,transcription factor IIIB 90 kDa subunit-like
NC_027310.1,17294806,P6K,50.04,3.9E-56,106562128,LOC106562128,meiotic recombination protein REC114-like
NC_027310.1,51195034,P6K,47.95,7.7E-56,106562942,ankra2,ankyrin repeat family A member 2
NC_027300.1,117809139,Exon,-42.7,7.1E-55,106563573,rai14,retinoic acid induced 14
NC_027316.1,46279166,Intron,-44.42,9.6E-55,106576329,LOC106576329,liprin-alpha-2-like
NC_027304.1,27136029,Intron,45.19,5.2E-54,106604567,LOC106604567,TBC1 domain family member 9B-like
NC_027309.1,23148550,P1K,22.84,1.6E-53,106613857,LOC106613857,ankyrin repeat domain-containing protein 29
NC_027303.1,36374696,Intron,-40.45,8.1E-53,106603110,LOC106603110,neuronal migration protein doublecortin-like
NC_027310.1,42797447,Intron,44.45,1.3E-51,106562777,unconventional myosin-IXa-like,unconventional myosin-IXa-like
NC_027318.1,13208176,Flanks,47.38,1.3E-51,106578480,prmt6,protein arginine methyltransferase 6
NC_027319.1,42016205,Flanks,35.82,2.4E-51,106580649,LOC106580649,60S ribosomal protein L35a
NC_027320.1,6691750,Exon,-33.06,4.5E-51,106581675,LOC106581675,collagen alpha-1(XVIII) chain-like
NC_027308.1,25999232,P6K,40.2,5.5E-50,106610962,LOC106610962,transcription factor IIIB 90 kDa subunit-like
NC_027327.1,3266884,Intron,-21.56,1.3E-49,106589328,LOC106589328,vesicle transport through interaction with t-SNAREs homolog 1A-like
NC_027324.1,18441495,Intron,-29.41,1.8E-49,106586321,LOC106586321,kinesin heavy chain isoform 5C-like
NC_027312.1,74795272,Intron,-37.2,4.6E-49,106567958,LOC106567958,autism susceptibility gene 2 protein-like
NC_027314.1,50339642,Intron,-26.27,4.9E-49,106571760,LOC106571760,protein lin-9 homolog
NC_027308.1,25999245,P6K,40.39,5.1E-49,106610962,LOC106610962,transcription factor IIIB 90 kDa subunit-like
NC_027312.1,82829437,Intron,-20.89,1.6E-48,106568073,LOC106568073,cytochrome P450 3A30-like
NC_027301.1,48190410,Intron,-30.33,2.1E-48,106587099,LOC106587099,ubiquitin carboxyl-terminal hydrolase 43-like
NC_027307.1,14965208,P6K,30.34,4.1E-48,100306795,po4f2,"POU domain, class 4, transcription factor 2"
NC_027318.1,31241210,Flanks,24.06,7.3E-48,106578671,LOC106578671,anion exchange protein 2-like
NC_027312.1,43275727,Intron,-21.69,2.4E-47,106567287,"metabotropic glutamate receptor 4-like, transcript variant X1",metabotropic glutamate receptor 4-like
NC_027302.1,48203414,Intron,36.53,4.0E-47,106600644,asphd1,aspartate beta-hydroxylase domain containing 1
NC_027301.1,57834527,P6K,-26.88,1.0E-46,106590617,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like","beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like"
NC_027300.1,106453170,Intron,48.69,1.6E-46,100195221,nup54,nucleoporin 54
NC_027310.1,51195001,P6K,43.62,1.9E-46,106562942,ankra2,ankyrin repeat family A member 2
NC_027310.1,35055097,Intron,20.85,4.7E-46,106562558,LOC106562558,GTPase-activating Rap/Ran-GAP domain-like protein 3
NC_027317.1,55419928,Intron,-65.92,9.8E-46,106577697,LOC106577697,transmembrane protein 256-like
NC_027308.1,59263544,Intron,-20.68,2.3E-45,106611628,LOC106611628,protocadherin Fat 4-like
NC_027318.1,55609781,P6K,21.13,2.7E-45,106579173,LOC106579173,synaptotagmin-2-like
NC_027308.1,107647985,Exon,-27.31,7.5E-45,106612559,LOC106612559,sortilin-related receptor-like
NC_027316.1,46279209,Intron,-40.26,3.5E-44,106576329,LOC106576329,liprin-alpha-2-like
NC_027304.1,8296730,Intron,45.64,6.3E-44,106604232,LOC106604232,cyclin-G1-like
NC_027318.1,13208214,Flanks,40.13,7.1E-44,106578480,prmt6,protein arginine methyltransferase 6
NC_027310.1,20894050,Flanks,26.14,7.4E-44,106562212,LOC106562212,DNA-binding protein RFX7-like
NC_027314.1,60033508,Intron,-23.16,1.6E-43,106571910,LOC106571910,dual specificity protein phosphatase 7-like
NC_027318.1,26764324,Exon,-44.36,1.7E-43,106578606,LOC106578606,homeobox protein engrailed-2a-like
NC_027309.1,24423824,Intron,25.5,6.2E-43,106613886,LOC106613886,formin-binding protein 1-like
NC_027325.1,17452777,Exon,34.31,6.3E-43,106587226,LOC106587226,uncharacterized LOC106587226
NC_027309.1,71509039,Exon,-30.32,9.0E-43,106561004,LOC106561004,E3 ubiquitin-protein ligase RFWD3-like
NC_027312.1,50678415,Intron,-45.58,1.0E-42,106567440,ebf1,EBF transcription factor 1
NC_027310.1,63599252,Flanks,-56.55,1.6E-42,106563328,LOC106563328,ankyrin-1-like
NC_027310.1,8084639,Intron,20.01,2.0E-42,106561918,LOC106561918,neuron navigator 2-like
NC_027313.1,8951816,Intron,-33.0,8.1E-42,106568722,LOC106568722,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B-like"
NC_027310.1,39533609,Intron,25.47,1.6E-41,106562684,mex3b,mex-3 RNA binding family member B
NC_027302.1,44067499,Exon,-27.16,2.0E-41,106600560,LOC106600560,myomegalin-like
NC_027314.1,42839075,Intron,27.44,2.4E-41,106571665,LOC106571665,"alpha-(1,6)-fucosyltransferase-like"
NC_027311.1,74229360,Flanks,21.09,3.3E-41,106565723,LOC106565723,bactericidal permeability-increasing protein-like
NC_027300.1,156082329,P250,-24.85,3.8E-41,106572512,LOC106572512,"glutamate receptor ionotropic, NMDA 3A-like"
NC_027313.1,15830228,Flanks,26.08,4.1E-41,106569009,LOC106569009,proenkephalin-A-like
NC_027308.1,25999236,P6K,36.76,1.1E-40,106610962,LOC106610962,transcription factor IIIB 90 kDa subunit-like
NC_027306.1,39496880,Intron,-29.99,1.3E-40,106609276,fbxo18,F-box DNA helicase 1
NC_027301.1,30603622,Exon,22.53,2.5E-40,106583301,LOC106583301,forkhead box protein O3-like
NC_027322.1,13694467,Intron,-20.08,3.9E-40,106584195,LOC106584195,trafficking protein particle complex subunit 8-like
NC_027310.1,19771790,Intron,27.87,4.9E-40,106562206,LOC106562206,myotubularin-related protein 10-like
NC_027313.1,43396584,Exon,22.0,5.0E-40,106569669,LOC106569669,calmodulin-regulated spectrin-associated protein 2-like
NC_027311.1,13515328,Exon,-23.19,5.6E-40,106564483,LOC106564483,RNA-binding protein 20-like
NC_027314.1,74464401,Intron,23.6,5.6E-40,106572055,casz1,castor zinc finger 1
NC_027313.1,53846519,Intron,-26.85,7.7E-40,106570076,LOC106570076,"RNA-binding motif, single-stranded-interacting protein 3"
NC_027312.1,62510221,Intron,-24.61,1.1E-39,106567633,LOC106567633,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1-like
NC_027312.1,70656242,P6K,26.27,1.2E-39,106568009,LOC106568009,hexokinase-2-like
NC_027317.1,15212530,Intron,-46.96,1.2E-39,106576965,LOC106576965,bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2-like
NC_027325.1,15120403,P6K,-54.95,1.7E-39,106587275,LOC106587275,GTP-binding protein RAD-like
NC_027318.1,9618765,Intron,-22.76,2.4E-39,106578409,"thiamin pyrophosphokinase 1, transcript variant X1",thiamin pyrophosphokinase 1
NC_027318.1,10619800,Intron,27.86,4.9E-39,106578460,LOC106578460,uncharacterized LOC106578460
NC_027315.1,39535959,Flanks,-27.46,5.2E-39,106573555,LOC106573555,ran-binding protein 3-like
NC_027325.1,1791924,Intron,30.11,1.4E-38,106587021,LOC106587021,actin filament-associated protein 1-like 2
NC_027308.1,111145955,P6K,21.57,1.9E-38,106612866,LOC106612866,T-box transcription factor TBX4-like
NC_027318.1,1942559,Intron,44.07,5.9E-38,106578316,LOC106578316,retinoic acid receptor alpha-A-like
NC_027308.1,71055756,Intron,-33.75,1.4E-37,106611921,slit homolog 3 protein-like,slit homolog 3 protein-like
NC_027317.1,4265703,Flanks,-35.36,1.5E-37,106576863,LOC106576863,mitogen-activated protein kinase 8-like
NC_027317.1,5643985,Intron,39.21,1.6E-37,106576843,abcc2,ATP binding cassette subfamily C member 2
NC_027300.1,156082284,P250,-22.25,2.2E-37,106572512,LOC106572512,"glutamate receptor ionotropic, NMDA 3A-like"
NC_027313.1,33400137,P6K,21.26,5.0E-37,106569417,LOC106569417,SUN domain-containing ossification factor-like
NC_027310.1,48914117,Intron,61.17,6.6E-37,106562892,LOC106562892,"pro-neuregulin-1, membrane-bound isoform-like"
NC_027313.1,86872964,Intron,-38.94,7.8E-37,106570681,LOC106570681,gamma-aminobutyric acid type B receptor subunit 1-like
NC_027300.1,133045417,Intron,-23.14,9.8E-37,106567479,LOC106567479,histone-lysine N-methyltransferase EHMT1-like
NC_027326.1,33601376,Intron,22.31,1.1E-36,106588997,LOC106588997,CUB and sushi domain-containing protein 3-like
NC_027307.1,9776470,Intron,-36.88,1.2E-36,106610075,LOC106610075,zinc finger protein 7-like
NC_027313.1,31268364,Exon,-22.1,3.0E-36,106569341,wnt3a,Wnt family member 3A
NC_027307.1,8238746,Flanks,22.39,3.1E-36,106610079,LOC106610079,zinc finger protein rotund-like
NC_027313.1,59937730,Intron,-32.76,3.1E-36,106569929,col14a1,collagen type XIV alpha 1 chain
NC_027325.1,37467117,Flanks,20.29,3.6E-36,106587800,LOC106587800,A disintegrin and metalloproteinase with thrombospondin motifs 7-like
NC_027320.1,38778714,Intron,-21.27,3.8E-36,106582292,LOC106582292,zinc finger protein Helios-like
NC_027319.1,40050748,P6K,43.13,3.8E-36,106580709,LOC106580709,5-hydroxytryptamine receptor 1A-alpha-like
NC_027316.1,38870912,Intron,-20.42,5.8E-36,106576121,LOC106576121,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A-like"
NC_027327.1,35103118,Intron,24.18,7.2E-36,100286450,Vesicle transport protein SFT2A,Vesicle transport protein SFT2A
NC_027301.1,63117943,P6K,-39.32,9.3E-36,106592286,cAMP-dependent protein kinase catalytic subunit alpha-like,cAMP-dependent protein kinase catalytic subunit alpha-like
NC_027300.1,24848605,Intron,-27.4,9.3E-36,106591116,LOC106591116,feline leukemia virus subgroup C receptor-related protein 2-like
NC_027326.1,17648254,P6K,-25.39,1.1E-35,106588615,LOC106588615,transmembrane protein 222-like
NC_027311.1,22661898,Intron,-46.04,1.1E-35,106564758,LOC106564758,cholecystokinin-like
NC_027315.1,31984761,Intron,-21.85,1.1E-35,106573705,LOC106573705,zinc finger protein 423
NC_027304.1,8296707,Intron,39.28,1.2E-35,106604232,LOC106604232,cyclin-G1-like
NC_027311.1,27465814,Exon,-21.8,1.3E-35,106564825,LOC106564825,striatin-like
NC_027310.1,17294817,P6K,42.24,1.5E-35,106562128,LOC106562128,meiotic recombination protein REC114-like
NC_027316.1,33235355,Intron,25.72,1.6E-35,106575993,LOC106575993,TBC1 domain family member 22B-like
NC_027302.1,20339705,Flanks,38.73,2.5E-35,106599479,LOC106599479,disco-interacting protein 2 homolog C
NC_027309.1,37238093,Intron,45.12,7.6E-35,106560380,LOC106560380,rho GTPase-activating protein 39-like
NW_012347400.1,10066,Flanks,25.91,9.6E-35,106591920,LOC106591920,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase-like"
NC_027301.1,24158189,Exon,-21.95,1.0E-34,106580696,nes,nestin
NC_027312.1,70656219,P6K,28.26,1.1E-34,106568009,LOC106568009,hexokinase-2-like
NC_027301.1,63117897,P6K,-38.79,1.3E-34,106592286,cAMP-dependent protein kinase catalytic subunit alpha-like,cAMP-dependent protein kinase catalytic subunit alpha-like
NC_027315.1,25612322,Intron,-45.6,1.3E-34,106573459,LOC106573459,FERM domain-containing protein 4A-like
NC_027319.1,47849110,Intron,20.79,1.3E-34,106580806,LOC106580806,limbic system-associated membrane protein-like
NC_027300.1,156082327,P250,-23.32,1.4E-34,106572512,LOC106572512,"glutamate receptor ionotropic, NMDA 3A-like"
NC_027301.1,11512913,Flanks,43.57,1.5E-34,106577054,LOC106577054,protein tweety homolog 1-like
NC_027312.1,38425822,Exon,-29.71,1.5E-34,106567148,LOC106567148,basement membrane-specific heparan sulfate proteoglycan core protein-like
NC_027308.1,117897841,P6K,27.24,1.6E-34,106612968,LOC106612968,homeobox protein BarH-like 2
NW_012348954.1,11543,Exon,-22.62,1.9E-34,106592857,TBC1 domain family member 30-like,TBC1 domain family member 30-like
NC_027325.1,46687239,Flanks,-35.67,2.0E-34,106588083,LOC106588083,WW domain-containing adapter protein with coiled-coil-like
NC_027300.1,156082323,P250,-22.92,2.6E-34,106572512,LOC106572512,"glutamate receptor ionotropic, NMDA 3A-like"
NC_027318.1,26764314,Exon,-39.3,2.9E-34,106578606,LOC106578606,homeobox protein engrailed-2a-like
NC_027315.1,2352505,Exon,21.72,3.1E-34,106573038,LOC106573038,cAMP-dependent protein kinase type II-beta regulatory subunit-like
NC_027308.1,57704094,P6K,41.56,3.4E-34,106611599,LOC106611599,protocadherin-12-like
NC_027315.1,72499900,Intron,-27.74,3.4E-34,106574488,LOC106574488,UPF0392 protein F13G3.3-like
NC_027324.1,48952593,Flanks,20.28,3.9E-34,106586911,LOC106586911,receptor-type tyrosine-protein phosphatase-like N
NC_027314.1,24295257,P6K,20.5,4.7E-34,106571209,LOC106571209,ectonucleotide pyrophosphatase/phosphodiesterase family member 3-like
NC_027312.1,41528690,P1K,-29.63,6.5E-34,106567251,LOC106567251,rap1 GTPase-activating protein 1-like
NC_027311.1,44418398,P1K,-25.88,1.0E-33,106565170,rad54l2,RAD54 like 2
NC_027300.1,130174558,P6K,-27.19,1.2E-33,106566461,LOC106566461,neurofilament light polypeptide-like
NC_027312.1,82635121,Intron,22.71,1.7E-33,106567763,LOC106567763,"A-kinase anchor protein 1, mitochondrial-like"
NC_027301.1,11512946,Flanks,42.98,1.8E-33,106577054,LOC106577054,protein tweety homolog 1-like
NC_027319.1,1368527,Flanks,23.36,2.5E-33,106579816,LOC106579816,kelch-like protein diablo
NC_027308.1,35686413,Intron,24.22,3.0E-33,106611258,LOC106611258,extensin-like
NC_027315.1,14449804,Intron,-35.61,3.2E-33,106573177,LOC106573177,tetraspanin-9
NC_027326.1,12241988,Intron,-40.22,4.0E-33,106588322,LOC106588322,atrial natriuretic peptide receptor 1-like
NC_027324.1,29738437,Intron,28.85,4.2E-33,106586540,LOC106586540,ephrin type-A receptor 6-like
NC_027305.1,31877364,Intron,-26.39,5.0E-33,106607221,LOC106607221,glucosidase 2 subunit beta-like
NC_027303.1,14155281,Intron,-28.15,5.4E-33,106602408,LOC106602408,zinc finger protein 566-like
NW_012348667.1,10075,P6K,-21.26,5.7E-33,106592700,filaggrin-like,filaggrin-like
NC_027308.1,19554220,Intron,39.89,1.1E-32,106610856,LOC106610856,apoptosis regulatory protein Siva-like
NC_027318.1,74766109,Intron,-34.39,1.3E-32,106579665,LOC106579665,potassium voltage-gated channel subfamily H member 2-like
NC_027317.1,57983931,Exon,-27.23,1.3E-32,106577844,LOC106577844,phosphatidylinositol 3-kinase catalytic subunit type 3-like
NC_027302.1,17103212,Flanks,-23.75,1.9E-32,106599563,serotransferrin-1-like,serotransferrin-1-like
NC_027308.1,25999228,P6K,32.66,2.4E-32,106610962,LOC106610962,transcription factor IIIB 90 kDa subunit-like
NC_027320.1,19783244,Exon,-28.14,2.6E-32,106581923,LOC106581923,NGFI-A-binding protein 1-like
NC_027318.1,7144591,Flanks,-26.63,2.8E-32,106578362,LOC106578362,"pro-neuregulin-3, membrane-bound isoform-like"
NC_027308.1,26717223,P1K,22.6,3.0E-32,106610938,LOC106610938,uncharacterized protein C4orf32-like
NC_027312.1,24533523,Intron,42.48,3.8E-32,106566884,nphp4,nephrocystin 4
NC_027304.1,20009467,Intron,-29.75,4.2E-32,106604464,LOC106604464,ecto-NOX disulfide-thiol exchanger 2-like
NC_027318.1,11636873,Intron,-23.97,4.5E-32,106578431,neto1,neuropilin and tolloid like 1
NC_027312.1,33754062,Intron,-39.81,4.6E-32,106567019,LOC106567019,vasopressin V2 receptor-like
NC_027324.1,9746871,Exon,-32.68,4.9E-32,100306785,Integrin beta-2,Integrin beta-2
NC_027316.1,8871215,Intron,48.5,5.1E-32,106575163,LOC106575163,E3 ubiquitin-protein ligase MARCH7-like
NC_027302.1,17640189,Flanks,-21.26,6.7E-32,106599532,LOC106599532,glypican-5-like
NC_027304.1,27109984,Intron,27.33,6.7E-32,106604565,LOC106604565,E3 ubiquitin-protein ligase RNF130-like
NC_027304.1,28164823,Intron,-33.29,7.3E-32,106604592,adad1,adenosine deaminase domain containing 1
NC_027320.1,19410962,Intron,-28.47,1.5E-31,106581913,LOC106581913,E3 ubiquitin-protein ligase Midline-1
NC_027311.1,57401846,Intron,22.06,1.6E-31,106565563,LOC106565563,probable G-protein coupled receptor 22
NC_027311.1,78923331,P6K,31.47,1.6E-31,106566034,LOC106566034,uncharacterized LOC106566034
NC_027321.1,51266719,Flanks,32.41,1.8E-31,100194873,ncoa5,nuclear receptor coactivator 5
NC_027300.1,105519461,Intron,-24.75,2.0E-31,106560538,LOC106560538,neurogenic locus notch homolog protein 1-like
NC_027322.1,35416078,Intron,-20.12,2.1E-31,106584502,LOC106584502,protein phosphatase 1H-like
NC_027312.1,43128007,Intron,25.31,2.3E-31,106567287,"metabotropic glutamate receptor 4-like, transcript variant X1",metabotropic glutamate receptor 4-like
NC_027305.1,17789649,Intron,23.38,2.7E-31,106606683,LOC106606683,serine/threonine-protein kinase/endoribonuclease IRE1-like
NC_027305.1,17789631,Intron,23.38,2.7E-31,106606683,LOC106606683,serine/threonine-protein kinase/endoribonuclease IRE1-like
NC_027313.1,57097861,P6K,-30.98,4.2E-31,106570019,LOC106570019,zinc finger MYM-type protein 4-like
NC_027317.1,47090708,Intron,-26.96,4.7E-31,106577539,LOC106577539,neurexin-2-like
NC_027322.1,9225385,Intron,-41.35,5.1E-31,106584031,LOC106584031,VWFA and cache domain-containing protein 1
NC_027315.1,81887342,Flanks,-29.19,5.2E-31,106574937,receptor tyrosine-protein kinase erbB-4-like,receptor tyrosine-protein kinase erbB-4-like
NC_027310.1,55653451,Flanks,34.47,5.2E-31,106563113,LOC106563113,toll-like receptor 8
NC_027314.1,53336297,Intron,-34.94,8.2E-31,106571806,LOC106571806,wiskott-Aldrich syndrome protein family member 1-like
NC_027302.1,12105034,Intron,-20.72,9.1E-31,100195411,septin 2,septin 2
NC_027300.1,49121885,Flanks,39.7,1.1E-30,106604674,rab11fip2,RAB11 family interacting protein 2
NC_027300.1,79096184,Intron,23.26,1.2E-30,106610110,LOC106610110,teneurin-4-like
NC_027313.1,37973849,P6K,23.8,1.2E-30,106569517,LOC106569517,semaphorin-6B-like
NC_027302.1,8282242,P6K,33.51,1.2E-30,106598174,grk7,G protein-coupled receptor kinase 7
NC_027308.1,101869851,Flanks,28.51,1.5E-30,106612701,LOC106612701,neuroblast differentiation-associated protein AHNAK-like
NC_027300.1,47064048,Intron,-24.5,1.7E-30,106604304,LOC106604304,tyrosine-protein phosphatase non-receptor type 20-like
NC_027320.1,10038700,Intron,34.61,1.7E-30,106581700,LOC106581700,inactive dipeptidyl peptidase 10-like
NC_027317.1,50832121,Intron,24.97,1.8E-30,106577616,LOC106577616,Kv channel-interacting protein 4-like
NC_027314.1,85508846,P6K,-22.09,1.9E-30,106572550,pink1,PTEN induced kinase 1
NC_027314.1,52851404,Intron,-28.44,2.8E-30,106571830,LOC106571830,SAM and SH3 domain-containing protein 1-like
NC_027300.1,38452837,Intron,-23.06,3.4E-30,106602463,LOC106602463,ras-related GTP-binding protein D-like
NC_027315.1,61842109,P6K,29.17,3.6E-30,106574316,LOC106574316,T-cell-specific surface glycoprotein CD28-like
NC_027307.1,8545843,Intron,22.18,4.2E-30,106610067,LOC106610067,uncharacterized LOC106610067
NC_027321.1,9243935,Intron,-25.64,4.5E-30,106582736,LOC106582736,protein FAM19A2-like
NC_027327.1,18234510,Intron,-28.92,4.9E-30,106589628,LOC106589628,"protoheme IX farnesyltransferase, mitochondrial"
NC_027308.1,53194328,Flanks,25.05,4.9E-30,100196853,Fibroblast growth factor-binding protein 1,Fibroblast growth factor-binding protein 1
NC_027314.1,82201675,Exon,27.72,5.3E-30,106572493,LOC106572493,voltage-dependent L-type calcium channel subunit alpha-1D-like
NC_027301.1,14748598,P6K,30.63,5.6E-30,106578482,LOC106578482,frizzled-6-like
NC_027304.1,58107271,P250,33.65,5.8E-30,106605356,LOC106605356,ribosome biogenesis protein BMS1 homolog
NC_027310.1,72432084,P1K,34.12,7.0E-30,106563191,LOC106563191,S-adenosylmethionine synthase isoform type-2
NC_027320.1,45101841,Exon,34.69,7.0E-30,106582393,LOC106582393,tyrosine-protein phosphatase non-receptor type 4-like
NC_027308.1,57289578,Intron,-33.43,8.1E-30,106611591,rnf130,ring finger protein 130
NC_027326.1,27302180,Intron,-24.71,1.1E-29,106588839,LOC106588839,collagen alpha-1(XVI) chain-like
NC_027305.1,83789992,Intron,31.87,1.3E-29,106608321,LOC106608321,translation initiation factor eIF-2B subunit delta-like
NC_027312.1,64513094,Intron,-22.33,1.3E-29,106567647,LOC106567647,homeobox protein PKNOX2-like
NC_027322.1,37214951,Intron,40.8,1.7E-29,106584557,LOC106584557,calcium-dependent secretion activator 2-like
NC_027317.1,30184881,Intron,-21.85,1.7E-29,106577246,LOC106577246,transmembrane protein 150A-like
NC_027310.1,63599489,Flanks,-21.17,2.0E-29,106563328,LOC106563328,ankyrin-1-like
NC_027311.1,47829087,Flanks,-35.52,2.1E-29,106565087,LOC106565087,acidic mammalian chitinase-like
NC_027301.1,11512962,Flanks,40.34,2.2E-29,106577054,LOC106577054,protein tweety homolog 1-like
NC_027324.1,43894664,Flanks,23.58,2.6E-29,106586808,LOC106586808,E3 ubiquitin-protein ligase Midline-1-like
NC_027314.1,98021949,Intron,-24.38,2.7E-29,106572890,LOC106572890,deoxyribonuclease gamma-like
NC_027311.1,58055450,Intron,23.61,3.5E-29,106565544,LOC106565544,"FYVE, RhoGEF and PH domain-containing protein 5-like"
