Chromosome,Pos,Region,Mdiff,Q-value,Gene ID,Gene symbol,Gene name
NC_027318.1,55609775,P6K,-34.41,1.5E-57,106579173,LOC106579173,synaptotagmin-2-like
NC_027313.1,12570778,Intron,42.27,1.5E-57,106568959,LOC106568959,small conductance calcium-activated potassium channel protein 2-like
NC_027308.1,31181007,P6K,24.82,4.1E-57,106611152,tetratricopeptide repeat domain 7B,tetratricopeptide repeat domain 7B
NC_027304.1,44804867,P6K,-23.23,1.4E-55,106604983,LOC106604983,transcription initiation factor TFIID subunit 12-like
NC_027319.1,45442213,Intron,32.64,1.4E-55,106580731,LOC106580731,protein YIF1B-like
NC_027312.1,68455497,P1K,-23.19,2.6E-55,106567686,dyrk1a,dual specificity tyrosine phosphorylation regulated kinase 1A
NC_027303.1,23878169,Intron,-22.72,8.2E-55,106602724,LOC106602724,EF-hand calcium-binding domain-containing protein 6-like
NC_027312.1,78618196,Exon,-41.66,1.4E-54,106567858,LOC106567858,ribose-phosphate pyrophosphokinase 1-like
NC_027318.1,70481169,Intron,47.34,3.6E-54,106579597,LOC106579597,5'-AMP-activated protein kinase subunit gamma-2-like
NC_027315.1,61842094,P6K,38.64,1.4E-53,106574316,LOC106574316,T-cell-specific surface glycoprotein CD28-like
NC_027303.1,34475316,Intron,-35.53,4.4E-53,106603034,LOC106603034,serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform-like
NC_027300.1,116646838,Intron,42.96,9.5E-53,106562987,"ABC transporter G family member 20-like, transcript variant X2",ABC transporter G family member 20-like
NC_027302.1,57981080,Exon,-33.09,4.5E-52,100286424,"Keratin, type I cytoskeletal 50 kDa","Keratin, type I cytoskeletal 50 kDa"
NC_027310.1,66413922,P6K,21.87,4.9E-52,106563270,LOC106563270,pappalysin-1-like
NC_027321.1,47272500,Intron,47.36,1.0E-51,106583608,LOC106583608,tensin-2-like
NC_027319.1,7075834,P6K,-21.46,1.4E-51,106580169,LOC106580169,tetraspanin-3-like
NC_027300.1,129405278,P6K,20.89,7.8E-51,106566689,LOC106566689,MAM domain-containing protein 2-like
NC_027302.1,69718463,Flanks,-28.27,1.2E-50,106601383,LOC106601383,ubiquitin carboxyl-terminal hydrolase 43-like
NC_027318.1,60683797,P6K,27.58,8.4E-50,106579062,LOC106579062,tectonic-3-like
NC_027310.1,77038972,Intron,45.76,2.4E-49,106563539,LOC106563539,transcription factor HES-7.1-B-like
NC_027328.1,14976441,Intron,23.6,6.9E-49,106590197,LOC106590197,eukaryotic translation initiation factor 4 gamma 3-like
NC_027308.1,21450223,Flanks,-42.16,1.8E-48,106611072,LOC106611072,signal-induced proliferation-associated 1-like protein 1
NC_027320.1,15454862,Intron,26.14,4.3E-48,106581799,LOC106581799,sodium channel protein type 2 subunit alpha-like
NC_027300.1,106453170,Intron,46.33,5.3E-48,100195221,nup54,nucleoporin 54
NC_027301.1,48190410,Intron,-31.46,7.3E-48,106587099,LOC106587099,ubiquitin carboxyl-terminal hydrolase 43-like
NC_027315.1,61842109,P6K,35.47,2.9E-47,106574316,LOC106574316,T-cell-specific surface glycoprotein CD28-like
NC_027324.1,40090201,Exon,-28.5,2.9E-47,106586797,LOC106586797,mediator of RNA polymerase II transcription subunit 14-like
NC_027316.1,46279166,Intron,-42.95,3.3E-47,106576329,LOC106576329,liprin-alpha-2-like
NC_027300.1,135353896,Flanks,-20.77,3.8E-47,106568234,LOC106568234,proteinase-activated receptor 2-like
NC_027322.1,33548555,Intron,27.46,1.0E-46,106584474,LOC106584474,plexin-B2-like
NC_027312.1,5018001,P6K,-46.0,3.3E-46,106566372,LOC106566372,glutathione S-transferase Mu 3-like
NC_027324.1,27663889,Intron,-21.63,3.6E-46,106586486,LOC106586486,60S ribosomal protein L31
NC_027300.1,14316497,Exon,42.37,9.3E-46,106566892,LOC106566892,disintegrin and metalloproteinase domain-containing protein 17-like
NC_027304.1,46170876,Intron,-26.91,3.8E-45,106605029,LOC106605029,kelch-like protein 32
NC_027328.1,11320543,P6K,-46.0,5.3E-45,106590128,plexin domain-containing protein 2-like,plexin domain-containing protein 2-like
NC_027328.1,14976409,Intron,30.89,9.8E-45,106590197,LOC106590197,eukaryotic translation initiation factor 4 gamma 3-like
NC_027309.1,88611710,P6K,-23.34,3.1E-44,100194665,26S proteasome non-ATPase regulatory subunit 7 like 1,26S proteasome non-ATPase regulatory subunit 7 like 1
NC_027312.1,43460714,Intron,-36.49,2.2E-43,106567295,"protein kinase C and casein kinase substrate in neurons protein 1-like, transcript variant X3",protein kinase C and casein kinase substrate in neurons protein 1-like
NC_027312.1,258796,Intron,-24.43,2.6E-43,106566296,LOC106566296,pancreatic progenitor cell differentiation and proliferation factor B-like
NC_027320.1,41608972,P6K,-54.58,3.0E-43,106582352,LOC106582352,solute carrier family 15 member 2-like
NC_027328.1,5132367,Intron,31.28,3.1E-43,106590053,LOC106590053,cadherin-12-like
NC_027310.1,50843226,Intron,40.88,3.5E-43,106562940,fcho2,FCH domain only 2
NW_012347714.1,9088,Exon,-34.64,3.6E-43,106592137,LOC106592137,zinc finger protein 239-like
NW_012349830.1,10808,Intron,23.6,4.0E-43,106593293,LOC106593293,ATP-dependent RNA helicase DDX1-like
NC_027316.1,46279209,Intron,-41.73,4.7E-43,106576329,LOC106576329,liprin-alpha-2-like
NC_027316.1,33235355,Intron,26.83,5.6E-43,106575993,LOC106575993,TBC1 domain family member 22B-like
NC_027301.1,24506314,P1K,-21.3,5.6E-43,106581364,LOC106581364,uncharacterized LOC106581364
NC_027309.1,3946337,Intron,-31.13,1.2E-42,106613444,negr1,neuronal growth regulator 1
NC_027326.1,9378360,Intron,21.48,1.2E-42,106588418,LOC106588418,"glutamate receptor ionotropic, kainate 5-like"
NC_027311.1,45972929,P6K,23.68,1.5E-42,106565120,LOC106565120,60S ribosomal protein L10a
NC_027322.1,32355249,Intron,21.24,1.6E-42,106584436,LOC106584436,methyl-CpG-binding domain protein 3-like
NC_027328.1,10439601,Intron,45.96,3.1E-42,106590111,LOC106590111,disks large-associated protein 1-like
NC_027326.1,33601376,Intron,20.39,4.8E-42,106588997,LOC106588997,CUB and sushi domain-containing protein 3-like
NC_027313.1,3053767,Flanks,-47.35,5.0E-42,106568632,basp1,brain abundant membrane attached signal protein 1
NC_027306.1,24409996,Intron,-31.04,1.1E-41,106608978,LOC106608978,E3 ubiquitin-protein ligase TRIM39-like
NC_027300.1,27039816,P6K,-28.41,1.3E-41,106598722,LOC106598722,protein phosphatase 1A
NC_027315.1,61842116,P6K,33.32,2.0E-41,106574316,LOC106574316,T-cell-specific surface glycoprotein CD28-like
NC_027301.1,72158370,Flanks,-20.08,3.9E-41,106595687,LOC106595687,zinc finger protein OZF-like
NC_027310.1,54488609,Intron,-36.39,4.6E-41,106562974,LOC106562974,protein CutA homolog
NC_027305.1,85205175,Intron,-27.14,4.6E-41,106608352,LOC106608352,protein phosphatase 1 regulatory subunit 14C-like
NC_027310.1,46014562,Intron,-25.55,9.6E-41,106562859,gatm,glycine amidinotransferase
NC_027306.1,9248371,Intron,24.65,1.2E-40,106608576,LOC106608576,ankyrin-2-like
NW_012343429.1,41493,P6K,22.39,1.3E-40,106591099,LOC106591099,uncharacterized LOC106591099
NC_027305.1,83789992,Intron,33.57,1.7E-40,106608321,LOC106608321,translation initiation factor eIF-2B subunit delta-like
NC_027303.1,34475278,Intron,-31.09,2.2E-40,106603034,LOC106603034,serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform-like
NC_027325.1,10989421,Intron,-38.84,5.5E-40,106587150,LOC106587150,MTSS1-like protein
NC_027308.1,116277675,Exon,-20.1,6.6E-40,106613048,LOC106613048,zona pellucida-like domain-containing protein 1
NC_027312.1,41313051,Intron,32.62,6.6E-40,106567238,LOC106567238,PDZ domain-containing protein 4-like
NC_027320.1,2054758,Intron,25.79,7.7E-40,106581635,dach1,dachshund family transcription factor 1
NC_027308.1,74739379,P6K,25.44,9.6E-40,106611966,immt,inner membrane mitochondrial protein
NC_027328.1,10439589,Intron,44.01,1.2E-39,106590111,LOC106590111,disks large-associated protein 1-like
NC_027313.1,15222787,Flanks,-33.14,1.2E-39,106568896,LOC106568896,polypyrimidine tract-binding protein 2-like
NC_027323.1,24775670,Flanks,-33.38,3.2E-39,106585462,LOC106585462,protein GUCD1-like
NC_027308.1,72696719,Intron,35.54,3.8E-39,106611959,LOC106611959,AF4/FMR2 family member 2-like
NC_027319.1,25424610,Intron,25.08,6.3E-39,106580375,LOC106580375,tetratricopeptide repeat protein 28-like
NC_027318.1,28175475,Intron,-21.76,1.1E-38,106578646,LOC106578646,rab effector MyRIP-like
NC_027318.1,60683795,P6K,23.01,1.7E-38,106579062,LOC106579062,tectonic-3-like
NC_027309.1,9117655,Intron,-25.55,2.0E-38,106613507,LOC106613507,receptor-type tyrosine-protein phosphatase S-like
NC_027314.1,55015898,Intron,36.8,3.7E-38,106571823,LOC106571823,zinc finger protein 2 homolog
NC_027312.1,21596828,Intron,-30.71,3.7E-38,106566705,LOC106566705,uncharacterized LOC106566705
NC_027309.1,77256852,Intron,-30.18,4.5E-38,106560879,cirh1a,UTP4 small subunit processome component
NC_027322.1,646653,P6K,-30.61,5.0E-38,106583890,LOC106583890,homeobox protein Dlx4a-like
NC_027309.1,91139349,Intron,23.1,5.3E-38,106561306,lrrc4c,leucine rich repeat containing 4C
NC_027310.1,57365572,P6K,27.84,6.7E-38,106563046,LOC106563046,junction-mediating and -regulatory protein-like
NC_027310.1,71309626,Intron,31.33,8.0E-38,106563218,LOC106563218,leucine-rich repeat transmembrane neuronal protein 4-like
NC_027309.1,97741181,Intron,-43.49,1.7E-37,106561371,LOC106561371,bcl-2-like protein 13
NC_027309.1,61323011,Intron,34.21,1.8E-37,106560791,LOC106560791,leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1
NC_027315.1,39149128,Exon,-44.3,2.0E-37,106573567,LOC106573567,fibrillin-2-like
NC_027308.1,82280175,P1K,-20.05,2.5E-37,106612189,glutamate receptor 3-like,glutamate receptor 3-like
NC_027312.1,49037599,Intron,-20.51,3.2E-37,106567417,LOC106567417,glutamate receptor 1-like
NC_027311.1,70996355,Flanks,31.66,4.1E-37,106565769,gnl3l,G protein nucleolar 3 like
NC_027309.1,24546670,Intron,30.67,5.5E-37,106613888,LOC106613888,breast cancer anti-estrogen resistance protein 3-like
NC_027328.1,11320523,P6K,-41.46,1.1E-36,106590128,plexin domain-containing protein 2-like,plexin domain-containing protein 2-like
NC_027317.1,14029986,Intron,20.59,1.5E-36,106576938,LOC106576938,potassium channel subfamily K member 18-like
NC_027300.1,64002474,P6K,-46.4,1.6E-36,106607591,LOC106607591,wings apart-like protein homolog
NC_027313.1,23843021,P6K,25.15,1.8E-36,106569251,LOC106569251,transmembrane protein 68-like
NC_027304.1,34203681,Intron,38.4,2.4E-36,106604753,LOC106604753,dystrophin-related protein 2-like
NC_027323.1,12928405,Exon,-34.0,2.8E-36,106585078,piwil2,piwi like RNA-mediated gene silencing 2
NC_027318.1,77812971,Flanks,37.74,3.9E-36,106579708,LOC106579708,uncharacterized LOC106579708
NC_027324.1,26968815,Intron,31.22,4.1E-36,106586405,ceramide kinase-like protein,ceramide kinase-like protein
NC_027301.1,29980828,Intron,-27.21,4.3E-36,106583195,LOC106583195,"glutamate receptor ionotropic, kainate 3-like"
NC_027316.1,48010157,Exon,-40.0,5.3E-36,106576407,LOC106576407,amphoterin-induced protein 2-like
NC_027303.1,34475321,Intron,-30.17,5.3E-36,106603034,LOC106603034,serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform-like
NC_027319.1,35384190,Exon,-23.78,7.0E-36,106580522,LOC106580522,lysyl oxidase homolog 2B
NC_027311.1,74273325,P6K,26.24,7.8E-36,106565720,LOC106565720,myb-related protein B-like
NC_027312.1,54501373,Intron,-25.27,9.6E-36,100380838,p4ha2,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide 2"
NC_027323.1,6571275,Intron,21.08,1.0E-35,106585190,fbxl17,F-box and leucine rich repeat protein 17
NC_027302.1,41788897,Intron,28.88,1.0E-35,106600521,LOC106600521,zinc finger protein 2-like
NC_027320.1,36497937,Intron,-21.13,1.3E-35,100195242,ub2e3,Ubiquitin-conjugating enzyme E2 E3
NC_027313.1,57097861,P6K,-32.2,1.4E-35,106570019,LOC106570019,zinc finger MYM-type protein 4-like
NC_027316.1,8871215,Intron,50.43,1.6E-35,106575163,LOC106575163,E3 ubiquitin-protein ligase MARCH7-like
NC_027324.1,8253813,Intron,-24.54,1.6E-35,106586116,LOC106586116,inactive dipeptidyl peptidase 10-like
NC_027309.1,11423664,Intron,23.66,1.7E-35,106613542,LOC106613542,"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5-like"
NC_027314.1,55015911,Intron,34.59,2.3E-35,106571823,LOC106571823,zinc finger protein 2 homolog
NC_027324.1,10870316,Flanks,33.81,2.6E-35,106586154,LOC106586154,cyclin-dependent kinase 5 activator 1-like
NC_027312.1,49480293,Intron,-29.0,2.7E-35,106567418,LOC106567418,teneurin-2-like
NC_027314.1,55015883,Intron,34.81,3.2E-35,106571823,LOC106571823,zinc finger protein 2 homolog
NC_027319.1,9863124,Intron,37.32,4.1E-35,106580141,LOC106580141,EGF-like repeat and discoidin I-like domain-containing protein 3
NC_027328.1,5132371,Intron,22.04,4.8E-35,106590053,LOC106590053,cadherin-12-like
NC_027302.1,65273472,P6K,20.82,4.8E-35,106601225,LOC106601225,probable ATP-dependent RNA helicase DDX17
NC_027319.1,42016205,Flanks,29.2,4.9E-35,106580649,LOC106580649,60S ribosomal protein L35a
NC_027318.1,57415350,P1K,27.42,5.4E-35,106579367,LOC106579367,uncharacterized LOC106579367
NC_027321.1,31989902,P1K,27.38,6.1E-35,100195379,dtx3l,deltex-3-like
NC_027309.1,63863377,Flanks,-48.08,6.2E-35,106560762,nox5,NADPH oxidase 5
NC_027303.1,6176020,Intron,28.02,6.5E-35,106602277,LOC106602277,max dimerization protein 4-like
NC_027301.1,18757848,Intron,-21.06,7.3E-35,106579054,activating signal cointegrator 1 complex subunit 3-like,activating signal cointegrator 1 complex subunit 3-like
NC_027324.1,19449135,Exon,-38.13,1.0E-34,106586305,LOC106586305,uncharacterized LOC106586305
NC_027302.1,21209245,Intron,20.46,1.7E-34,106599430,LOC106599430,laminin subunit gamma-1-like
NC_027305.1,37194186,P6K,26.25,1.8E-34,106607308,LOC106607308,C1q-related factor-like
NC_027325.1,7140859,Intron,-34.48,2.3E-34,106587065,LOC106587065,glycosyltransferase-like protein LARGE2
NC_027310.1,17294806,P6K,38.58,3.3E-34,106562128,LOC106562128,meiotic recombination protein REC114-like
NC_027300.1,57799358,Intron,42.24,4.0E-34,106606834,LOC106606834,bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2-like
NC_027312.1,22725984,Flanks,40.63,4.0E-34,106566909,LOC106566909,complement receptor type 2-like
NC_027316.1,52910814,Intron,33.87,4.0E-34,106576555,LOC106576555,EF-hand calcium-binding domain-containing protein 4B-like
NC_027311.1,24353560,Flanks,33.61,4.6E-34,106564910,LOC106564910,inactive rhomboid protein 2-like
NC_027309.1,81269713,Intron,-24.4,4.9E-34,106560804,mctp2,multiple C2 and transmembrane domain containing 2
NC_027328.1,10439555,Intron,39.69,5.0E-34,106590111,LOC106590111,disks large-associated protein 1-like
NC_027314.1,17986461,Intron,-42.5,5.4E-34,106571079,LOC106571079,synapse differentiation-inducing gene protein 1-like
NC_027319.1,17828146,Flanks,33.84,6.5E-34,106580220,LOC106580220,DNA translocase FtsK-like
NC_027302.1,49310631,Intron,24.86,6.9E-34,106600675,ccdc137,coiled-coil domain containing 137
NC_027312.1,22726010,Flanks,37.13,8.0E-34,106566909,LOC106566909,complement receptor type 2-like
NC_027308.1,97891543,Intron,38.5,8.5E-34,106612464,LOC106612464,sodium channel subunit beta-3-like
NC_027311.1,39903034,Intron,-29.44,1.2E-33,106565248,LOC106565248,copine-9-like
NC_027304.1,19957874,Intron,-31.86,1.2E-33,106604464,LOC106604464,ecto-NOX disulfide-thiol exchanger 2-like
NC_027301.1,24506332,P1K,-23.25,1.6E-33,106581364,LOC106581364,uncharacterized LOC106581364
NC_027327.1,39299721,Flanks,24.97,1.6E-33,106590007,LOC106590007,disrupted in schizophrenia 1 protein-like
NC_027306.1,33180423,P6K,29.29,2.0E-33,106609137,LOC106609137,cadherin-related family member 5-like
NC_027318.1,55609781,P6K,-26.88,2.6E-33,106579173,LOC106579173,synaptotagmin-2-like
NC_027314.1,55015890,Intron,34.18,2.7E-33,106571823,LOC106571823,zinc finger protein 2 homolog
NC_027317.1,35916756,Exon,38.62,2.8E-33,106577366,LOC106577366,PHD finger protein 3-like
NC_027317.1,68875974,P250,-28.24,3.2E-33,106578181,RNA binding motif protein 46,RNA binding motif protein 46
NC_027302.1,66280273,Flanks,21.62,3.6E-33,106601294,LOC106601294,gamma-crystallin M3-like
NC_027313.1,57097856,P6K,-28.93,4.5E-33,106570019,LOC106570019,zinc finger MYM-type protein 4-like
NC_027319.1,32949003,Flanks,26.46,7.4E-33,106580488,LOC106580488,T-box transcription factor TBX1
NC_027326.1,12844088,Flanks,23.88,8.3E-33,106588308,LOC106588308,myocyte-specific enhancer factor 2D homolog
NC_027310.1,76510685,Intron,21.2,1.1E-32,106563441,LOC106563441,kelch-like protein 13
NC_027304.1,47766999,Flanks,-26.6,1.5E-32,106605057,LOC106605057,transmembrane protein 74-like
NC_027303.1,36374696,Intron,-32.74,2.2E-32,106603110,LOC106603110,neuronal migration protein doublecortin-like
NC_027328.1,8604775,Flanks,-26.61,2.3E-32,106590086,LOC106590086,protein FAM69C-like
NC_027311.1,70996365,Flanks,29.59,2.5E-32,106565769,gnl3l,G protein nucleolar 3 like
NC_027316.1,41778354,Intron,-45.93,3.2E-32,106576208,LOC106576208,F-box only protein 18-like
NC_027308.1,101869851,Flanks,28.42,3.4E-32,106612701,LOC106612701,neuroblast differentiation-associated protein AHNAK-like
NC_027304.1,32441598,P6K,-31.02,3.7E-32,106604715,LOC106604715,acidic fibroblast growth factor intracellular-binding protein-like
NC_027312.1,35669489,Intron,-44.02,4.4E-32,100196635,hoxc10aa,homeobox protein HoxC10aa
NC_027316.1,41259818,Exon,-37.88,4.6E-32,106576205,LOC106576205,filamin-C-like
NC_027304.1,41405703,Intron,-21.51,5.4E-32,106604955,LOC106604955,X-linked interleukin-1 receptor accessory protein-like 2
NC_027322.1,32337418,Flanks,-40.55,8.8E-32,100196193,Transcription factor 12,Transcription factor 12
NC_027321.1,23900824,Intron,-32.86,1.1E-31,106582957,LOC106582957,multiple epidermal growth factor-like domains protein 6
NC_027308.1,58721875,Intron,24.59,1.8E-31,106611623,spata5,spermatogenesis associated 5
NC_027302.1,57379585,Intron,32.85,1.8E-31,100194486,hoxb3aa,homeobox protein HoxB3aa
NC_027304.1,63019632,Intron,-26.43,1.8E-31,106605507,LOC106605507,cyclin-dependent kinase 14
NC_027322.1,1299236,Intron,-21.1,2.1E-31,100136929,hematological and neurological expressed 1-like,hematological and neurological expressed 1-like
NC_027312.1,82635121,Intron,22.71,2.3E-31,106567763,LOC106567763,"A-kinase anchor protein 1, mitochondrial-like"
NC_027302.1,41788925,Intron,31.4,4.7E-31,106600521,LOC106600521,zinc finger protein 2-like
NC_027318.1,26764314,Exon,-40.57,5.6E-31,106578606,LOC106578606,homeobox protein engrailed-2a-like
NC_027326.1,14919269,Intron,23.6,6.9E-31,106588558,LOC106588558,immunoglobulin superfamily DCC subclass member 3-like
NC_027318.1,29970763,Intron,43.48,7.4E-31,106578695,LOC106578695,"M-protein, striated muscle-like"
NC_027305.1,76476331,Intron,-21.69,7.8E-31,106608153,LOC106608153,signal-induced proliferation-associated 1-like protein 1
NC_027308.1,103161685,Intron,-31.37,8.0E-31,106612653,LOC106612653,rap1 GTPase-activating protein 2-like
NC_027310.1,63599489,Flanks,-20.93,8.5E-31,106563328,LOC106563328,ankyrin-1-like
NC_027312.1,57517259,Intron,34.47,9.9E-31,106567547,LOC106567547,kin of IRRE-like protein 3
NC_027309.1,66275053,Exon,28.79,1.0E-30,106561080,LOC106561080,phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha-like
NC_027311.1,70996345,Flanks,28.78,1.1E-30,106565769,gnl3l,G protein nucleolar 3 like
NC_027312.1,83652614,P250,24.72,1.1E-30,106568086,acaca,acetyl-CoA carboxylase alpha
NC_027308.1,65347699,Flanks,-55.57,1.1E-30,106611709,LOC106611709,uncharacterized LOC106611709
NC_027320.1,25115241,Intron,20.58,1.2E-30,106582011,LOC106582011,interleukin-1 receptor accessory protein-like 1-B
NC_027301.1,19686356,P6K,-20.75,1.6E-30,106579779,LOC106579779,abhydrolase domain-containing protein 16A-like
NC_027311.1,70996384,Flanks,28.66,1.7E-30,106565769,gnl3l,G protein nucleolar 3 like
NC_027321.1,45547197,Flanks,-21.06,2.2E-30,106583585,LOC106583585,GTPase IMAP family member 4-like
NC_027318.1,73061243,Intron,31.23,2.2E-30,106579641,LOC106579641,piezo-type mechanosensitive ion channel component 2-like
NC_027327.1,1048315,P6K,30.84,2.2E-30,106589282,"SNF8, ESCRT-II complex subunit",SNF8 subunit of ESCRT-II
NC_027318.1,60683829,P6K,22.47,2.3E-30,106579062,LOC106579062,tectonic-3-like
NC_027308.1,64275375,Intron,-31.5,2.6E-30,106611730,LOC106611730,fibroblast growth factor 13-like
NC_027320.1,6691750,Exon,-24.6,3.8E-30,106581675,LOC106581675,collagen alpha-1(XVIII) chain-like
NC_027322.1,27040214,Intron,28.0,4.0E-30,100286605,LOC100286605,cytosolic carboxypeptidase 6
NC_027311.1,65121780,Intron,-33.65,6.2E-30,106565865,LOC106565865,polyhomeotic-like protein 2
NC_027308.1,11163624,Exon,-23.38,6.3E-30,106610702,LOC106610702,membrane-bound O-acyltransferase domain-containing protein 2-like
NC_027309.1,80462660,P6K,-30.34,6.3E-30,106560821,LOC106560821,serine/threonine-protein kinase H1 homolog
NW_012347142.1,29019,Exon,38.95,7.5E-30,106591755,LOC106591755,nuclear pore complex protein Nup50-like
NC_027300.1,28469543,Flanks,-21.81,9.7E-30,106599666,mcm8,minichromosome maintenance 8 homologous recombination repair factor
NC_027319.1,80409640,Intron,-29.96,9.9E-30,106581520,LOC106581520,fibroblast growth factor receptor homolog 1-like
NC_027319.1,26620939,Exon,-26.2,1.0E-29,106580343,LOC106580343,transcription factor COE2-like
NC_027309.1,73981244,Intron,25.72,1.8E-29,106560972,LOC106560972,protein kinase C-binding protein NELL2-like
NC_027302.1,9203722,P250,37.0,2.0E-29,106598084,LOC106598084,membrane protein FAM159A-like
NC_027324.1,48895569,Flanks,-31.45,2.4E-29,106586910,LOC106586910,zinc finger CCCH domain-containing protein 15-like
NC_027304.1,35765525,Exon,22.73,2.6E-29,106604880,LOC106604880,protocadherin beta-16-like
NC_027310.1,29240193,P6K,-33.2,2.7E-29,106562405,LOC106562405,proteoglycan 4-like
NC_027311.1,70996377,Flanks,28.01,2.7E-29,106565769,gnl3l,G protein nucleolar 3 like
NC_027308.1,82280193,P1K,-21.76,3.6E-29,106612189,glutamate receptor 3-like,glutamate receptor 3-like
NC_027314.1,55015922,Intron,30.78,3.8E-29,106571823,LOC106571823,zinc finger protein 2 homolog
NC_027314.1,76883862,Intron,-23.27,4.0E-29,106571996,LOC106571996,adherens junction-associated protein 1-like
NC_027305.1,42269274,Exon,-23.02,4.4E-29,106607460,LOC106607460,sodium channel protein type 4 subunit alpha B-like
NC_027326.1,36858072,Exon,24.53,4.4E-29,106589046,LOC106589046,uncharacterized protein C6orf47-like
NC_027328.1,10992305,Exon,-26.9,4.7E-29,106590122,LOC106590122,UDP-glucuronosyltransferase 2A1-like
